len data posf 51539
len connection type 11

conn type
--- mss: count  %

MOB
--- 1454: 2  0.000135
--- 1280: 2  0.000135
--- 1364: 1  0.000067
--- 1437: 1  0.000067
--- 1338: 1  0.000067
--- 1382: 1  0.000067
--- 1309: 1  0.000067
--- 1290: 1  0.000067
--- 1361: 1  0.000067
---  960: 1  0.000067
--- 1366: 1  0.000067
--- 1329: 1  0.000067
--- 1378: 1  0.000067
--- 1330: 1  0.000067
--- 1331: 1  0.000067
--- 1387: 1  0.000067
--- 1358: 1  0.000067
--- 1363: 1  0.000067
--- 1342: 1  0.000067
--- 1328: 1  0.000067
COM
--- 1460: 242  0.374613
--- 1440: 157  0.243034
--- 1412: 58  0.089783
--- 1452: 46  0.071207
--- 1360: 34  0.052632
--- 1400: 29  0.044892
--- 1420: 22  0.034056
--- 1390: 11  0.017028
--- 1380: 6  0.009288
--- 1310: 5  0.007740
--- 1250: 3  0.004644
--- 1436: 3  0.004644
--- 1300: 3  0.004644
--- 1292: 2  0.003096
--- 1402: 2  0.003096
--- 1200: 2  0.003096
--- 1357: 2  0.003096
--- 1418: 2  0.003096
--- 1408: 2  0.003096
--- 1410: 2  0.003096
--- 1437: 1  0.001548
--- 1350: 1  0.001548
--- 1352: 1  0.001548
--- 1370: 1  0.001548
--- 1386: 1  0.001548
--- 1336: 1  0.001548
--- 1430: 1  0.001548
--- 1396: 1  0.001548
--- 1328: 1  0.001548
--- 1415: 1  0.001548
--- 1375: 1  0.001548
--- 1419: 1  0.001548
--- 1398: 1  0.001548
DCH
--- 1460: 4193  0.321130
--- 1240: 3113  0.238416
--- 1360: 2049  0.156927
--- 1340: 511  0.039136
--- 1361: 346  0.026499
--- 1260: 290  0.022210
--- 1286: 250  0.019147
--- 1358: 233  0.017845
--- 1287: 204  0.015624
--- 1320: 201  0.015394
--- 1406: 117  0.008961
--- 1440: 115  0.008808
--- 1452: 89  0.006816
--- 1357: 86  0.006587
--- 1420: 84  0.006433
--- 1300: 82  0.006280
--- 1432: 71  0.005438
--- 1400: 70  0.005361
--- 1380: 69  0.005285
--- 1351: 64  0.004902
--- 1412: 60  0.004595
--- 1176: 59  0.004519
--- 1289: 51  0.003906
--- 1288: 43  0.003293
--- 1436: 38  0.002910
--- 1356: 26  0.001991
--- 1140: 22  0.001685
--- 1394: 21  0.001608
--- 1000: 19  0.001455
--- 1379: 18  0.001379
--- 1296: 18  0.001379
--- 1366: 17  0.001302
--- 8960: 17  0.001302
---  760: 17  0.001302
--- 1326: 14  0.001072
--- 1350: 14  0.001072
--- 1256: 13  0.000996
--- 1352: 13  0.000996
--- 1355: 12  0.000919
--- 1374: 12  0.000919
--- 1336: 12  0.000919
--- 1337: 11  0.000842
--- 1329: 11  0.000842
--- 1430: 11  0.000842
--- 1399: 10  0.000766
--- 1220: 10  0.000766
---  512: 10  0.000766
--- 1330: 9  0.000689
--- 1250: 9  0.000689
--- 1135: 9  0.000689
--- 1359: 8  0.000613
--- 1314: 8  0.000613
--- 1100: 8  0.000613
--- 1285: 8  0.000613
--- 1410: 8  0.000613
--- 1324: 8  0.000613
--- 1310: 7  0.000536
--- 1390: 7  0.000536
--- 1402: 6  0.000460
--- 1269: 6  0.000460
--- 1392: 6  0.000460
--- 1233: 6  0.000460
--- 1368: 6  0.000460
--- 1280: 5  0.000383
--- 1201: 5  0.000383
--- 1306: 5  0.000383
--- 1190: 5  0.000383
--- 1305: 5  0.000383
--- 1335: 4  0.000306
--- 1271: 4  0.000306
--- 1060: 4  0.000306
--- 1284: 4  0.000306
--- 1327: 4  0.000306
--- 1258: 3  0.000230
--- 1160: 3  0.000230
--- 1385: 3  0.000230
--- 1458: 3  0.000230
--- 1332: 3  0.000230
--- 1418: 3  0.000230
--- 1414: 3  0.000230
--- 1304: 3  0.000230
--- 1338: 3  0.000230
--- 1328: 2  0.000153
--- 1448: 2  0.000153
--- 1454: 2  0.000153
--- 1252: 2  0.000153
--- 1309: 2  0.000153
---  984: 2  0.000153
--- 1325: 2  0.000153
--- 1334: 2  0.000153
--- 1369: 2  0.000153
--- 1349: 2  0.000153
--- 1200: 2  0.000153
--- 1207: 1  0.000077
--- 1308: 1  0.000077
--- 1322: 1  0.000077
--- 1344: 1  0.000077
